datetime,Open,High,Low,Close,Final,Volume
2024-03-27,1556,1558,1507,1517,1530,179508295
2024-03-30,1525,1538,1496,1528,1509,97018873
2024-04-02,1464,1519,1461,1500,1486,140671483
2024-04-03,1473,1500,1463,1481,1481,115274688
2024-04-06,1480,1488,1410,1419,1447,181998321
2024-04-07,1495,1497,1443,1476,1461,150509002
2024-04-08,1483,1513,1460,1468,1482,75609656
2024-04-09,1469,1493,1450,1483,1483,95740718
2024-04-13,1488,1488,1409,1411,1418,429766819
2024-04-14,1404,1404,1404,1404,1404,86585575
2024-04-15,1418,1418,1418,1418,1415,61889148
2024-04-16,1401,1420,1401,1403,1401,160682980
2024-04-17,1414,1415,1400,1401,1407,58038277
2024-04-20,1477,1477,1453,1477,1472,115692985
2024-04-21,1500,1528,1465,1470,1491,147948496
2024-04-22,1475,1498,1460,1462,1477,95957247
2024-04-23,1495,1495,1440,1448,1453,114290674
2024-04-24,1449,1473,1438,1440,1448,62126081
2024-04-27,1421,1440,1397,1416,1414,220419488
2024-04-28,1400,1420,1369,1374,1386,137001352
2024-04-29,1380,1399,1376,1376,1387,133391517
2024-04-30,1368,1394,1359,1367,1374,86245462
2024-05-01,1376,1400,1370,1399,1378,128682052
2024-05-05,1400,1408,1370,1371,1380,65228771
2024-05-06,1395,1395,1356,1365,1368,92079174
2024-05-07,1370,1387,1358,1358,1365,63691402
2024-05-08,1365,1365,1345,1346,1351,122761235
2024-05-11,1350,1351,1327,1328,1339,96990992
2024-05-12,1350,1350,1273,1273,1295,307649391
2024-05-13,1295,1308,1250,1261,1269,110586263
2024-05-14,1275,1296,1261,1270,1272,58200288
2024-05-15,1288,1288,1264,1280,1274,62320693
2024-05-18,1278,1324,1270,1270,1284,55767600
2024-05-19,1273,1273,1220,1235,1228,154058799
2024-05-21,1223,1233,1209,1214,1218,101275792
2024-05-25,1218,1238,1194,1194,1205,63575097
2024-05-26,1181,1181,1181,1181,1197,32696353
2024-05-27,1174,1177,1174,1174,1174,107032210
2024-05-28,1168,1197,1168,1197,1191,75225003
2024-05-29,1214,1214,1201,1214,1207,66843231
2024-06-01,1220,1231,1208,1231,1230,144289057
2024-06-02,1227,1254,1217,1254,1241,118453678
2024-06-05,1265,1265,1265,1265,1265,161803532
2024-06-08,1290,1290,1250,1289,1282,473635847
2024-06-10,1500,1519,1470,1473,1478,1076600352
2024-06-11,1492,1507,1486,1494,1500,912172010
2024-06-12,1524,1530,1500,1525,1512,600306054
2024-06-15,1527,1528,1512,1525,1517,461692462
2024-06-16,1520,1525,1520,1524,1522,224442873
2024-06-18,1523,1548,1523,1530,1532,261581971
