J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
1403-01-08,1556,1558,1507,1517,1530,179508295,274576776220,4294,وتجارت,بانک تجارت,بورس
1403-01-11,1525,1538,1496,1528,1509,97018873,146448292077,2753,وتجارت,بانک تجارت,بورس
1403-01-14,1464,1519,1461,1500,1486,140671483,209091520214,2730,وتجارت,بانک تجارت,بورس
1403-01-15,1473,1500,1463,1481,1481,115274688,170721233784,2420,وتجارت,بانک تجارت,بورس
1403-01-18,1480,1488,1410,1419,1447,181998321,263319530063,4075,وتجارت,بانک تجارت,بورس
1403-01-19,1495,1497,1443,1476,1461,150509002,219921117401,3050,وتجارت,بانک تجارت,بورس
1403-01-20,1483,1513,1460,1468,1482,75609656,112159629835,1909,وتجارت,بانک تجارت,بورس
1403-01-21,1469,1493,1450,1483,1483,95740718,141967016267,2365,وتجارت,بانک تجارت,بورس
1403-01-25,1488,1488,1409,1411,1418,429766819,609273483303,5661,وتجارت,بانک تجارت,بورس
1403-01-26,1404,1404,1404,1404,1404,86585575,121566147300,759,وتجارت,بانک تجارت,بورس
1403-01-27,1418,1418,1418,1418,1415,61889148,87758811864,760,وتجارت,بانک تجارت,بورس
1403-01-28,1401,1420,1401,1403,1401,160682980,225190558156,2085,وتجارت,بانک تجارت,بورس
1403-01-29,1414,1415,1400,1401,1407,58038277,81804057750,1132,وتجارت,بانک تجارت,بورس
1403-02-01,1477,1477,1453,1477,1472,115692985,170318027857,1751,وتجارت,بانک تجارت,بورس
1403-02-02,1500,1528,1465,1470,1491,147948496,220550301906,2546,وتجارت,بانک تجارت,بورس
1403-02-03,1475,1498,1460,1462,1477,95957247,141755562902,2094,وتجارت,بانک تجارت,بورس
1403-02-04,1495,1495,1440,1448,1453,114290674,166029784029,2268,وتجارت,بانک تجارت,بورس
1403-02-05,1449,1473,1438,1440,1448,62126081,89879021211,1401,وتجارت,بانک تجارت,بورس
1403-02-08,1421,1440,1397,1416,1414,220419488,311764869739,4370,وتجارت,بانک تجارت,بورس
1403-02-09,1400,1420,1369,1374,1386,137001352,189869236061,2910,وتجارت,بانک تجارت,بورس
1403-02-10,1380,1399,1376,1376,1387,133391517,185026056398,2675,وتجارت,بانک تجارت,بورس
1403-02-11,1368,1394,1359,1367,1374,86245462,118477853111,2168,وتجارت,بانک تجارت,بورس
1403-02-12,1376,1400,1370,1399,1378,128682052,177269855531,2076,وتجارت,بانک تجارت,بورس
1403-02-16,1400,1408,1370,1371,1380,65228771,90017931395,1672,وتجارت,بانک تجارت,بورس
1403-02-17,1395,1395,1356,1365,1368,92079174,125972751475,1908,وتجارت,بانک تجارت,بورس
1403-02-18,1370,1387,1358,1358,1365,63691402,86884926737,1498,وتجارت,بانک تجارت,بورس
1403-02-19,1365,1365,1345,1346,1351,122761235,165833122042,2334,وتجارت,بانک تجارت,بورس
1403-02-22,1350,1351,1327,1328,1339,96990992,129887435822,2433,وتجارت,بانک تجارت,بورس
1403-02-23,1350,1350,1273,1273,1295,307649391,398473722086,4464,وتجارت,بانک تجارت,بورس
1403-02-24,1295,1308,1250,1261,1269,110586263,140344703430,2416,وتجارت,بانک تجارت,بورس
1403-02-25,1275,1296,1261,1270,1272,58200288,74129390057,1524,وتجارت,بانک تجارت,بورس
1403-02-26,1288,1288,1264,1280,1274,62320693,79418343563,1340,وتجارت,بانک تجارت,بورس
1403-02-29,1278,1324,1270,1270,1284,55767600,71982759905,1472,وتجارت,بانک تجارت,بورس
1403-02-30,1273,1273,1220,1235,1228,154058799,189260391044,3181,وتجارت,بانک تجارت,بورس
1403-03-01,1223,1233,1209,1214,1218,101275792,123342204071,1847,وتجارت,بانک تجارت,بورس
1403-03-05,1218,1238,1194,1194,1205,63575097,76170613749,1888,وتجارت,بانک تجارت,بورس
1403-03-06,1181,1181,1181,1181,1197,32696353,38614392893,416,وتجارت,بانک تجارت,بورس
1403-03-07,1174,1177,1174,1174,1174,107032210,125668976112,1579,وتجارت,بانک تجارت,بورس
1403-03-08,1168,1197,1168,1197,1191,75225003,89964295523,1210,وتجارت,بانک تجارت,بورس
1403-03-09,1214,1214,1201,1214,1207,66843231,81140209344,902,وتجارت,بانک تجارت,بورس
1403-03-12,1220,1231,1208,1231,1230,144289057,177455242410,1613,وتجارت,بانک تجارت,بورس
1403-03-13,1227,1254,1217,1254,1241,118453678,146993656606,1747,وتجارت,بانک تجارت,بورس
1403-03-16,1265,1265,1265,1265,1265,161803532,204681467980,1333,وتجارت,بانک تجارت,بورس
1403-03-19,1290,1290,1250,1289,1282,473635847,607195835040,5399,وتجارت,بانک تجارت,بورس
1403-03-21,1500,1519,1470,1473,1478,1076600352,1591198431243,8578,وتجارت,بانک تجارت,بورس
1403-03-22,1492,1507,1486,1494,1500,912172010,1368432515363,8068,وتجارت,بانک تجارت,بورس
1403-03-23,1524,1530,1500,1525,1512,600306054,907429503088,6762,وتجارت,بانک تجارت,بورس
1403-03-26,1527,1528,1512,1525,1517,461692462,700558238481,4756,وتجارت,بانک تجارت,بورس
1403-03-27,1520,1525,1520,1524,1522,224442873,341659736694,2213,وتجارت,بانک تجارت,بورس
1403-03-29,1523,1548,1523,1530,1532,261581971,400871549531,3409,وتجارت,بانک تجارت,بورس
