datetime,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2024-04-02,2750,2899,2748,2876,2844,283735233,807076047732,6715,خساپا,سایپا,بورس
2024-04-03,2860,2902,2804,2864,2845,220424280,627015986156,4328,خساپا,سایپا,بورس
2024-04-06,2845,2864,2703,2742,2760,461881624,1274631685693,8772,خساپا,سایپا,بورس
2024-04-07,2759,2799,2725,2763,2753,146132051,402327693101,3378,خساپا,سایپا,بورس
2024-04-08,2788,2830,2750,2762,2790,73728895,205691560164,2412,خساپا,سایپا,بورس
2024-04-09,2789,2845,2751,2792,2794,141353637,394974040177,3486,خساپا,سایپا,بورس
2024-04-13,2685,2750,2655,2655,2664,304109267,810058341348,5927,خساپا,سایپا,بورس
2024-04-14,2638,2638,2638,2638,2662,3061455,8076118290,185,خساپا,سایپا,بورس
2024-04-15,2688,2688,2653,2688,2688,97918851,263202937981,1517,خساپا,سایپا,بورس
2024-04-16,2662,2687,2662,2662,2663,96631133,257354438735,1773,خساپا,سایپا,بورس
2024-04-17,2662,2689,2637,2638,2672,62473227,166958160683,1736,خساپا,سایپا,بورس
2024-04-20,2766,2805,2731,2805,2802,223154065,625210818937,3474,خساپا,سایپا,بورس
2024-04-21,2890,2890,2794,2795,2832,80104658,226869563509,2506,خساپا,سایپا,بورس
2024-04-22,2782,2837,2752,2779,2816,101319386,285325375377,2565,خساپا,سایپا,بورس
2024-04-23,2751,2850,2751,2825,2810,121839046,342417026098,2992,خساپا,سایپا,بورس
2024-04-24,2833,2835,2784,2830,2803,79891125,223908243535,2434,خساپا,سایپا,بورس
2024-04-27,2854,2900,2785,2800,2811,76206248,214191769730,2304,خساپا,سایپا,بورس
2024-04-28,2781,2800,2729,2731,2758,66813305,184285875703,2014,خساپا,سایپا,بورس
2024-04-29,2731,2895,2731,2809,2860,287873497,823202658562,5824,خساپا,سایپا,بورس
2024-04-30,2858,2860,2770,2785,2807,111484272,312979528968,3083,خساپا,سایپا,بورس
2024-05-01,2785,2847,2785,2815,2814,96439337,271427706133,2228,خساپا,سایپا,بورس
2024-05-05,2800,2855,2760,2760,2799,109520750,306593346260,3560,خساپا,سایپا,بورس
2024-05-06,2760,2805,2700,2720,2749,108664669,298668969148,3221,خساپا,سایپا,بورس
2024-05-07,2700,2762,2671,2691,2704,130489096,352848779637,2933,خساپا,سایپا,بورس
2024-05-08,2690,2733,2611,2624,2660,82048792,218239352923,2200,خساپا,سایپا,بورس
2024-05-11,2610,2659,2578,2578,2602,81167354,211209481161,1984,خساپا,سایپا,بورس
2024-05-12,2618,2620,2505,2513,2553,127944130,326633028278,3912,خساپا,سایپا,بورس
2024-05-13,2557,2557,2426,2460,2460,172858615,425306397739,4182,خساپا,سایپا,بورس
2024-05-14,2450,2510,2437,2462,2462,91752927,225879044694,2092,خساپا,سایپا,بورس
2024-05-15,2461,2509,2392,2428,2439,138930809,338858483842,3040,خساپا,سایپا,بورس
2024-05-18,2458,2472,2391,2393,2433,108613810,264223712168,2670,خساپا,سایپا,بورس
2024-05-19,2380,2429,2312,2398,2332,187180354,436539170738,3548,خساپا,سایپا,بورس
2024-05-21,2311,2378,2311,2378,2373,54074334,128328999976,1248,خساپا,سایپا,بورس
2024-05-25,2395,2416,2326,2326,2340,150514314,352134269571,2457,خساپا,سایپا,بورس
2024-05-26,2300,2344,2294,2294,2313,40966760,94474120929,834,خساپا,سایپا,بورس
2024-05-27,2267,2297,2267,2270,2269,146875082,333267820623,2251,خساپا,سایپا,بورس
2024-05-28,2300,2314,2271,2314,2313,81907036,189434653955,1309,خساپا,سایپا,بورس
2024-05-29,2359,2359,2336,2359,2342,31928634,75295820820,496,خساپا,سایپا,بورس
2024-06-01,2388,2388,2332,2380,2378,122815341,292097293294,2602,خساپا,سایپا,بورس
2024-06-02,2420,2425,2367,2425,2396,156163951,374221676929,2760,خساپا,سایپا,بورس
2024-06-05,2443,2443,2427,2443,2442,137043662,334719968847,2590,خساپا,سایپا,بورس
2024-06-08,2442,2443,2394,2394,2398,120980456,290102982027,1757,خساپا,سایپا,بورس
2024-06-09,2396,2445,2364,2445,2427,88927272,215829856554,2303,خساپا,سایپا,بورس
2024-06-10,2475,2475,2473,2475,2475,56287090,139310500517,742,خساپا,سایپا,بورس
2024-06-11,2524,2524,2474,2489,2499,99871196,249573310385,2130,خساپا,سایپا,بورس
2024-06-12,2512,2530,2486,2497,2503,108543469,271688047774,2218,خساپا,سایپا,بورس
2024-06-15,2493,2494,2453,2453,2466,64627390,159364749076,1683,خساپا,سایپا,بورس
2024-06-16,2417,2499,2417,2421,2432,109047980,265218246362,2479,خساپا,سایپا,بورس
2024-06-18,2384,2432,2384,2432,2388,150731208,359922296702,2442,خساپا,سایپا,بورس
2024-06-19,2371,2435,2371,2435,2419,62500199,151184155188,1623,خساپا,سایپا,بورس
