datetime,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2024-03-27,2440,2459,2401,2421,2421,118385665,286666272594,3730,وبملت,بانک ملت,بورس
2024-03-30,2425,2440,2395,2414,2410,135616510,326799082690,3574,وبملت,بانک ملت,بورس
2024-04-02,2330,2411,2325,2380,2360,182430407,430528004416,4768,وبملت,بانک ملت,بورس
2024-04-03,2380,2390,2350,2368,2364,178920735,422922484133,3663,وبملت,بانک ملت,بورس
2024-04-06,2364,2370,2266,2294,2312,294196911,680148195735,7157,وبملت,بانک ملت,بورس
2024-04-07,2473,2473,2414,2473,2470,2004667836,4951123798407,23703,وبملت,بانک ملت,بورس
2024-04-08,2520,2572,2489,2510,2524,508286059,1282719193219,11071,وبملت,بانک ملت,بورس
2024-04-09,2500,2550,2476,2525,2516,440187187,1107686457949,8900,وبملت,بانک ملت,بورس
2024-04-13,2507,2507,2371,2376,2407,608828286,1465593537878,9681,وبملت,بانک ملت,بورس
2024-04-14,2383,2383,2383,2383,2383,221609232,528094799856,1531,وبملت,بانک ملت,بورس
2024-04-15,2406,2406,2406,2406,2406,122555999,294869733594,1287,وبملت,بانک ملت,بورس
2024-04-16,2428,2428,2382,2410,2389,496903799,1187069193018,6625,وبملت,بانک ملت,بورس
2024-04-17,2412,2412,2378,2381,2399,274374494,658215238395,4740,وبملت,بانک ملت,بورس
2024-04-20,2444,2554,2444,2551,2519,542050163,1365504555177,8887,وبملت,بانک ملت,بورس
2024-04-21,2595,2598,2499,2499,2547,296077416,754181201970,7181,وبملت,بانک ملت,بورس
2024-04-22,2490,2553,2484,2497,2518,260587381,656274947731,6155,وبملت,بانک ملت,بورس
2024-04-23,2498,2500,2463,2489,2483,155834914,386928684446,4065,وبملت,بانک ملت,بورس
2024-04-24,2489,2514,2455,2470,2479,222941336,552686736019,4509,وبملت,بانک ملت,بورس
2024-04-27,2495,2498,2443,2456,2458,131648785,323639919646,3413,وبملت,بانک ملت,بورس
2024-04-28,2458,2458,2386,2389,2399,166061669,398458101561,4112,وبملت,بانک ملت,بورس
2024-04-29,2390,2420,2376,2390,2394,178254752,426745666981,4275,وبملت,بانک ملت,بورس
2024-04-30,2380,2400,2348,2380,2368,143078692,338754871343,3767,وبملت,بانک ملت,بورس
2024-05-01,2390,2398,2364,2380,2372,174583279,414137074802,3482,وبملت,بانک ملت,بورس
2024-05-05,2379,2379,2350,2353,2365,119339290,282225826253,3303,وبملت,بانک ملت,بورس
2024-05-06,2365,2380,2292,2300,2318,196580918,455709990694,6108,وبملت,بانک ملت,بورس
2024-05-07,2314,2347,2293,2303,2304,177844263,409668913200,3658,وبملت,بانک ملت,بورس
2024-05-08,2304,2326,2291,2293,2296,108017323,248053419173,2892,وبملت,بانک ملت,بورس
2024-05-11,2292,2295,2263,2265,2273,147509704,335327356319,4613,وبملت,بانک ملت,بورس
2024-05-12,2265,2280,2224,2230,2252,158957271,357979944499,4207,وبملت,بانک ملت,بورس
2024-05-13,2252,2253,2160,2182,2186,176019559,384832554548,5759,وبملت,بانک ملت,بورس
2024-05-14,2185,2219,2177,2179,2192,205699562,450934888332,4891,وبملت,بانک ملت,بورس
2024-05-15,2198,2240,2157,2210,2195,186560970,409428631165,4461,وبملت,بانک ملت,بورس
2024-05-18,2210,2284,2206,2210,2246,284130872,638264278992,5209,وبملت,بانک ملت,بورس
2024-05-19,2244,2244,2111,2160,2156,224247932,483436767618,5704,وبملت,بانک ملت,بورس
2024-05-21,2134,2170,2134,2138,2145,133602698,286575679685,3718,وبملت,بانک ملت,بورس
2024-05-25,2143,2155,2103,2107,2116,230961835,488703782481,5163,وبملت,بانک ملت,بورس
2024-05-26,2119,2125,2074,2074,2076,326163092,677080239187,4854,وبملت,بانک ملت,بورس
2024-05-27,2035,2076,2035,2065,2042,310065413,633206308393,4651,وبملت,بانک ملت,بورس
2024-05-28,2070,2082,2070,2082,2082,162432880,338149726360,2099,وبملت,بانک ملت,بورس
2024-05-29,2123,2123,2123,2123,2122,54636279,115992820317,908,وبملت,بانک ملت,بورس
2024-06-01,2164,2164,2125,2150,2148,236248048,507559488640,3715,وبملت,بانک ملت,بورس
2024-06-02,2170,2183,2111,2178,2140,200453909,428888044544,2873,وبملت,بانک ملت,بورس
2024-06-05,2150,2182,2144,2148,2156,104946361,226260811061,2461,وبملت,بانک ملت,بورس
2024-06-08,2165,2165,2113,2125,2129,206326624,439177625118,3424,وبملت,بانک ملت,بورس
2024-06-09,2150,2171,2124,2171,2160,258858868,559255655704,3419,وبملت,بانک ملت,بورس
2024-06-10,2203,2203,2203,2203,2203,100618823,221663267069,965,وبملت,بانک ملت,بورس
2024-06-11,2247,2247,2193,2242,2225,760799011,1692655480562,9508,وبملت,بانک ملت,بورس
2024-06-12,2237,2269,2228,2237,2256,968445545,2184963402294,8314,وبملت,بانک ملت,بورس
2024-06-15,2257,2263,2252,2261,2256,632252345,1426326122296,4822,وبملت,بانک ملت,بورس
2024-06-16,2263,2264,2255,2263,2258,772379311,1743716262232,6305,وبملت,بانک ملت,بورس
